section_ID,area_pre,area_post2,area_change,scan_page_pre,scan_page_post2,threshold_post,notes_pre,notes_post2
15.6.6,3.335,3.336,0.001,AV_Ambient_1of3_pre,AV_choice_post_scan5,155,,
15.6.7,3.289,3.318,0.029,Control_Ambient_3of3_pre,AV_choice_post_scan8,155,,
15.6.8,3.32,2.488,-0.832,AV_Reduced_3of3_pre,AV_choice_post_scan2,155,,
15.6.9,3.319,2.924,-0.395,AV_Reduced_3of3_pre,AV_choice_post_scan6,155,,
17.10.1,4.014,4.072,0.058,Control_Ambient_3of3_pre,AV_choice_post_scan9,155,,
17.10.10,4.205,4.137,-0.068,AV_Ambient_1of3_pre,AV_choice_post_scan1,155,,
17.10.2,4.057,4.013,-0.044,AV_Reduced_1of3_pre,AV_choice_post_scan2,155,,
17.10.3,4.079,4.102,0.023,Control_Reduced_3of3_pre,AV_choice_post_scan12,125,,shadows
17.10.4,4.177,4.212,0.035,Control_Ambient_3of3_pre,AV_choice_post_scan8,0,,shadows; used polygon tool
17.10.5,4.147,4.09,-0.057,AV_Reduced_2of3_pre,AV_choice_post_scan1,155,,
17.10.6,4.143,4.224,0.081,Control_Ambient_2of3_pre,AV_choice_post_scan12,0,,dust; used polygon tool
17.10.7,4.145,3.977,-0.168,AV_Reduced_2of3_pre,AV_choice_post_scan1,155,,
17.10.8,4.132,4.19,0.058,Control_Reduced_2of3_pre,AV_choice_post_scan8,155,,
17.10.9,4.18,4.179,-0.001,Control_Ambient_3of3_pre,AV_choice_post_scan9,155,,
17.11.1,3.858,3.82,-0.038,AV_Reduced_2of3_pre,AV_choice_post_scan4,0,,shadows; used polygon tool
17.11.10,4.036,4.091,0.055,Control_Reduced_3of3_pre,AV_choice_post_scan12,155,,
17.11.2,3.851,3.9,0.049,Control_Reduced_1of3_pre,AV_choice_post_scan10,155,,
17.11.3,3.921,3.952,0.031,Control_Ambient_1of3_pre,AV_choice_post_scan12,134,,shadows
17.11.4,3.862,3.918,0.056,AV_Ambient_3of3_pre,AV_choice_post_scan6,155,,
17.11.5,3.904,3.934,0.03,Control_Reduced_1of3_pre,AV_choice_post_scan11,155,,
17.11.6,3.885,3.838,-0.047,AV_Ambient_3of3_pre,AV_choice_post_scan1,155,,
17.11.7,3.877,3.845,-0.032,AV_Ambient_1of3_pre,AV_choice_post_scan5,155,,
17.11.8,3.757,3.723,-0.034,AV_Reduced_3of3_pre,AV_choice_post_scan2,155,,
17.11.9,3.972,4.003,0.031,Control_Ambient_2of3_pre,AV_choice_post_scan10,155,,
21.10.1,2.826,2.887,0.061,Control_Ambient_3of3_pre,AV_choice_post_scan9,0,,shadows; used polygon tool
21.10.10,3.055,3.046,-0.009,Control_Ambient_2of3_pre,AV_choice_post_scan9,132,,shadows
21.10.2,2.999,3.061,0.062,Control_Reduced_1of3_pre,AV_choice_post_scan10,155,,
21.10.3,3.065,2.588,-0.477,AV_Reduced_1of3_pre,AV_choice_post_scan3,162,,grazing
21.10.4,3.065,3.073,0.008,Control_Ambient_3of3_pre,AV_choice_post_scan8,155,,
21.10.5,3.121,3.079,-0.042,AV_Reduced_1of3_pre,AV_choice_post_scan7,0,,used polygon tool
21.10.6,3.034,3.051,0.017,Control_Ambient_2of3_pre,AV_choice_post_scan12,155,,
21.10.7,3.072,2.12,-0.952,AV_Reduced_3of3_pre,AV_choice_post_scan5,155,,
21.10.8,3.07,3.089,0.019,Control_Reduced_3of3_pre,AV_choice_post_scan8,155,,
21.10.9,3.077,2.416,-0.661,AV_Ambient_1of3_pre,AV_choice_post_scan6,155,,
21.4.1,3.65,3.639,-0.011,Control_Ambient_1of3_pre,AV_choice_post_scan10,155,,
21.4.10,3.779,3.63,-0.149,AV_Ambient_1of3_pre,AV_choice_post_scan1,155,,
21.4.2,3.578,3.624,0.046,AV_Reduced_1of3_pre,AV_choice_post_scan2,155,,
21.4.3,3.639,3.626,-0.013,Control_Reduced_3of3_pre,AV_choice_post_scan12,125,,shadows
21.4.4,3.606,3.647,0.041,AV_Ambient_2of3_pre,AV_choice_post_scan5,155,,
21.4.5,3.658,3.681,0.023,Control_Ambient_1of3_pre,AV_choice_post_scan9,155,,
21.4.6,3.643,3.652,0.009,AV_Reduced_3of3_pre,AV_choice_post_scan4,137,,shadows
21.4.7,3.517,3.685,0.168,Control_Reduced_2of3_pre,AV_choice_post_scan8,0,,shadows; used polygon tool
21.4.8,3.706,3.065,-0.641,AV_Ambient_3of3_pre,AV_choice_post_scan3,131,,
21.4.9,3.601,3.651,0.05,Control_Ambient_3of3_pre,AV_choice_post_scan9,146,,shadows
24.11.1,3.656,3.665,0.009,AV_Reduced_2of3_pre,AV_choice_post_scan4,155,,
24.11.10,3.653,3.602,-0.051,AV_Ambient_3of3_pre,AV_choice_post_scan4,155,,
24.11.2,3.669,3.723,0.054,Control_Reduced_1of3_pre,AV_choice_post_scan10,155,,
24.11.3,3.645,3.686,0.041,AV_Ambient_2of3_pre,AV_choice_post_scan3,155,auto tool picked up the border; outlined by hand,
24.11.4,3.721,3.719,-0.002,AV_Ambient_3of3_pre,AV_choice_post_scan6,155,,
24.11.5,3.686,3.723,0.037,Control_Ambient_1of3_pre,AV_choice_post_scan9,155,,
24.11.6,3.743,3.728,-0.015,AV_Reduced_3of3_pre,AV_choice_post_scan4,155,,
24.11.7,3.76,3.854,0.094,Control_Reduced_2of3_pre,AV_choice_post_scan8,155,,
24.11.8,3.786,3.811,0.025,Control_Reduced_2of3_pre,AV_choice_post_scan8,155,,
24.11.9,3.756,3.749,-0.007,AV_Ambient_1of3_pre,AV_choice_post_scan6,155,,
24.6.1,2.947,3.002,0.055,Control_Ambient_3of3_pre,AV_choice_post_scan9,155,,
24.6.10,3.435,3.383,-0.052,AV_Ambient_1of3_pre,AV_choice_post_scan1,155,,
24.6.2,3.188,3.203,0.015,Control_Ambient_1of3_pre,AV_choice_post_scan7,0,,used polygon tool
24.6.3,3.14,3.142,0.002,AV_Reduced_2of3_pre,AV_choice_post_scan2,155,,
24.6.4,3.247,3.242,-0.005,Control_Reduced_1of3_pre,AV_choice_post_scan11,155,,
24.6.5,3.223,3.166,-0.057,AV_Reduced_2of3_pre,AV_choice_post_scan1,155,,
24.6.6,3.329,3.305,-0.024,AV_Ambient_3of3_pre,AV_choice_post_scan1,155,,
24.6.7,3.305,3.336,0.031,Control_Ambient_2of3_pre,AV_choice_post_scan10,155,,
24.6.8,3.343,3.32,-0.023,AV_Ambient_1of3_pre,AV_choice_post_scan6,137,,shadows
24.6.9,3.322,3.375,0.053,Control_Ambient_3of3_pre,AV_choice_post_scan9,155,,
26.7.1,3.784,3.785,0.001,AV_Reduced_2of3_pre,AV_choice_post_scan4,0,,shadows; used polygon tool
26.7.10,3.835,3.497,-0.338,AV_Reduced_3of3_pre,AV_choice_post_scan6,0,,used polygon tool
